"ALERT3",\N,\N,\N,"CONV3",\N,"2025-06-30 13:38:00","WORK3","2025-07-15 13:38:00"
"ALERT10","Alert_5","FLOW10","Flow_5_name","CONV10","Medium","2025-07-03 22:11:00","WORK10","2025-07-18 22:11:00"
"ALERT4","Alert_4","FLOW4","Flow_4_name","CONV4","Medium","2025-07-09 10:47:00","WORK4","2025-07-09 10:47:00"
"ALERT7","Alert_2","FLOW7","Flow_2_name","CONV7","High","2025-06-26 09:34:00","WORK7","2025-07-11 09:34:00"
"ALERT10","Alert_5","FLOW10","Flow_5_name","CONV10","Medium","2025-06-23 06:31:00","WORK10","2025-07-08 06:31:00"
"ALERT2",\N,\N,\N,"CONV2",\N,"2025-07-11 06:19:00","WORK2","2025-07-11 06:19:00"
"ALERT3",\N,\N,\N,"CONV3",\N,"2025-07-10 11:48:00","WORK3","2025-07-10 11:48:00"
"ALERT3","Alert_1","FLOW6","Flow_1_name","CONV3","Medium","2025-07-07 02:15:00","WORK6","2025-07-22 02:15:00"
"ALERT3",\N,\N,\N,"CONV3",\N,"2025-07-20 03:28:00","WORK3","2025-07-20 03:28:00"
"ALERT5","Alert_5","FLOW5","Flow_5_name","CONV5","Low","2025-06-28 23:36:00","WORK5","2025-07-13 23:36:00"
